USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 119700  5652 ?        Ss   Dec06   0:03 /sbin/init auto noprompt
root        803  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_8]
root        804  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_8]
root        811  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_9]
root        812  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_9]
root        819  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_10]
root        820  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_10]
root        827  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_11]
root        828  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_11]
root        835  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_12]
root        836  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_12]
root        843  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_13]
root        844  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_13]
root        847  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_14]
root        853  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_14]
root        855  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_15]
root        858  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_15]
root        862  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_16]
root        865  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_16]
root        871  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_17]
root        873  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_17]
root        875  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_18]
root        881  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_18]
root        882  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_19]
root        886  0.0  0.0      0     0 ?        S<   Dec06   0:00 [scsi_tmf_19]
root        891  0.0  0.0      0     0 ?        S    Dec06   0:00 [scsi_eh_20]
